model,horizon,trial_id,parameters,validation_micro_wape,validation_macro_wape,validation_mae,validation_rmse,training_duration_sec,seed
LightGBM,2,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",9.301564717523123,11.212168492617423,10.68470739101881,14.192652165675014,0.20990010000241455,42
LightGBM,2,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",10.032882849996309,12.368624083005805,11.52477252979076,15.65641796997326,0.15371550000054413,42
LightGBM,2,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",12.585247436431626,17.378682202779526,14.456673730229008,19.2268510911694,0.13955519999944954,42
LightGBM,2,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",10.686215080469443,15.252500821011704,12.27525526293525,15.906951143754652,0.1375676999996358,42
LightGBM,2,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",12.194263328746816,17.00377849745491,14.007550285731467,18.586270107337327,0.17120449999856646,42
LightGBM,2,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",9.489732522945678,11.120110119969096,10.9008557491077,14.463408155752964,0.3666604999998526,42
LightGBM,3,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",10.67622535429328,12.093485663725527,12.13566536022517,15.732106778238252,0.3024478999977873,42
LightGBM,3,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",10.639621043782629,12.30668045977315,12.094057240467714,15.615387154615158,0.2742059000011068,42
LightGBM,3,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",11.30478427529933,14.493007455057777,12.850148285732748,16.214576073306684,0.21654680000210647,42
LightGBM,3,4,"{""objective"": ""regression_l1"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",10.604988945451334,12.546657306654343,12.05469093429453,15.573587114369992,0.2187288000022818,42
LightGBM,3,5,"{""objective"": ""regression"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",10.690326527709985,12.262036276457831,12.15169416404794,15.57346152912527,0.2380931999978202,42
LightGBM,3,6,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",11.342764005574972,14.69090236854569,12.893319845137071,16.28568671981747,0.17242089999854215,42
LightGBM,3,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",10.865275165026894,13.358070130913008,12.35055828008607,15.581410556703021,0.18969519999882323,42
LightGBM,3,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",11.702143391961656,15.254667182958908,13.301826393642814,16.541328825146753,0.14803960000062943,42
LightGBM,3,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",14.015419572518075,20.162391236693406,15.931327428081296,20.158166149327954,0.13417399999889312,42
LightGBM,3,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",12.73004521933753,18.527742924254984,14.470242400820972,17.467757171514087,0.13022780000028433,42
LightGBM,3,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",13.393842887466114,19.579443670972505,15.224781210182732,19.231148809790984,0.16046270000151708,42
LightGBM,3,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",10.616068383191962,12.264834531894023,12.067284931174305,15.660786553865625,0.26908470000125817,42
LightGBM,4,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",11.436462836330806,13.29468990301916,12.796830090712355,16.52436847762971,0.2832089999974414,42
LightGBM,4,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",10.690207179838621,12.65475398179208,11.961807323880425,15.585293546821328,0.3103473000010126,42
LightGBM,4,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",11.063422147778278,14.83940345561907,12.379416212256503,15.365236326459991,0.24241479999909643,42
LightGBM,4,4,"{""objective"": ""regression_l1"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",10.985627780393887,13.407899465701869,12.29236820487174,15.51753471165188,0.20553750000181026,42
LightGBM,4,5,"{""objective"": ""regression"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",11.476894312918596,13.557548747575986,12.842070891440262,16.40410987796819,0.21383900000000722,42
LightGBM,4,6,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",11.424863814723013,15.479183346783143,12.783851365484315,15.861745893610557,0.17231429999810643,42
LightGBM,4,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",11.589786828160054,14.58604495455112,12.968391971369693,16.17631953917825,0.18632050000087474,42
LightGBM,4,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",11.6622929511273,15.756879580381126,13.049522697663893,16.07732880840981,0.14531309999802033,42
LightGBM,4,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",13.374013581172258,20.58852428714551,14.964852496652698,18.41579048524609,0.13042959999802406,42
LightGBM,4,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",12.748964213222152,19.732052471855624,14.26545350638493,16.820758919740015,0.14443670000036946,42
LightGBM,4,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",12.923121653477867,20.081916370557497,14.460326974159061,17.689593017955065,0.18260409999857075,42
LightGBM,4,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",10.853844866120188,12.643049950216751,12.144909712945184,15.763036772153397,0.2756664999978966,42
LightGBM,5,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",11.877784496725997,13.889074156460373,13.301930857883445,17.489200932301205,0.2903377000002365,42
