WAPE,MAE,RMSE,model,horizon
9.746808193545183,9.81,12.850218869731364,ma4,1
9.985368820792715,10.123333333333333,13.156137667770635,ma4,2
12.315380435677474,12.465833333333334,16.436360860401347,ma4,3
11.63240790176188,11.62,15.812224964670005,ma4,4
12.906230249808734,12.933333333333334,16.974361794581068,ma4,5
13.767566766067516,13.9275,18.58753502574597,ma4,6
15.646768656467685,15.648333333333333,20.53196187248879,ma4,7
15.096278576121566,14.935,20.17487608388215,ma4,8
10.298854095944627,10.365625,14.02366025240914,ma8,1
11.086611649048974,11.239791666666667,14.476177449232468,ma8,2
13.383786409365584,13.547291666666666,17.69629566345266,ma8,3
12.808871129204485,12.795208333333333,17.111951385167423,ma8,4
13.620355586601471,13.648958333333333,18.218823970690316,ma8,5
14.895505543931332,15.068541666666667,19.90451490345009,ma8,6
16.82352598073526,16.825208333333332,21.93698657993694,ma8,7
16.452222914806516,16.276458333333334,21.588744294384824,ma8,8
11.222242461375416,11.295,14.715015007354449,naive,1
11.295599138568775,11.451666666666666,14.897930505051141,naive,2
12.801936344326808,12.958333333333334,17.032566845115664,naive,3
12.273091297383875,12.26,16.304600577751053,naive,4
13.322023750124737,13.35,17.264510804923876,naive,5
13.695899303095704,13.855,18.728187312177333,naive,6
15.238476152384761,15.24,20.556588562632015,naive,7
15.450058120925217,15.285,20.73206051827298,naive,8
15.880375565086357,15.983333333333333,27.722493875311194,seasonal_naive,1
10.305939601177071,10.448333333333334,13.551076218022931,seasonal_naive,2
10.529695552664943,10.658333333333333,13.969788831618036,seasonal_naive,3
10.601308061932729,10.59,13.599019572503503,seasonal_naive,4
10.250141369790107,10.271666666666667,13.65814775143394,seasonal_naive,5
10.643030133285006,10.766666666666667,13.967700836811572,seasonal_naive,6
10.485618104856181,10.486666666666666,13.626567188156132,seasonal_naive,7
10.419649926717094,10.308333333333334,13.377655499625735,seasonal_naive,8
9.592560802048949,9.6547525712489,12.826793216259352,ses,1
10.100661372367195,10.240218843662069,13.201308592164715,ses,2
12.415977340211674,12.567659196717926,16.469242734602773,ses,3
11.733278443746821,11.720762946740157,15.881638948925927,ses,4
12.854926573952305,12.881921919757605,16.93616887283206,ses,5
13.855040134483115,14.015989517378694,18.64261693102601,ses,6
15.788306273991529,15.789885104618929,20.680995120721008,ses,7
15.283014529376231,15.119740990820729,20.37970479495463,ses,8
