WAPE,MAE,RMSE,model,Category
11.960205925144292,15.584895833333333,20.04835300799877,ma4,Home Decor
12.6147029246627,12.544270833333334,16.552205920460672,ma4,Kitchen
12.75233464857943,12.759375,17.080065744408987,ma4,Lighting
12.979434447300772,10.51875,14.133330876572114,ma4,Furniture
13.14906917320679,12.007291666666667,16.822201352181388,ma4,Storage
13.028202791500792,16.9765625,21.716829951100138,ma8,Home Decor
13.743138774826114,13.66640625,17.98820504756751,ma8,Kitchen
13.775207437560514,13.7828125,18.195695461656126,ma8,Lighting
14.01413881748072,11.357291666666667,15.172815260084949,ma8,Furniture
14.040541157145464,12.821354166666667,17.97969050994297,ma8,Storage
12.723120757563061,12.652083333333334,16.70560035836286,naive,Kitchen
12.934273426383362,16.854166666666668,21.423312846834246,naive,Home Decor
13.12296336397614,13.130208333333334,17.161214749156503,naive,Lighting
13.191275780251871,12.045833333333333,17.10719877712304,naive,Storage
14.038560411311055,11.377083333333333,15.315637433681955,naive,Furniture
10.07482373255312,13.128125,18.880573128659698,seasonal_naive,Home Decor
10.787312494762423,10.727083333333333,15.169116102572797,seasonal_naive,Kitchen
11.359353690150229,11.365625,16.039891676691585,seasonal_naive,Lighting
11.72317028654864,10.705208333333333,15.629399380654394,seasonal_naive,Storage
12.363753213367609,10.019791666666666,14.524297171750973,seasonal_naive,Furniture
12.101889637243548,15.76951856543067,20.290445564186943,ses,Home Decor
12.66474494531655,12.5940334527052,16.596873842175327,ses,Kitchen
12.830620178779546,12.837703750336578,17.055882663406692,ses,Lighting
13.064949543699198,11.930476424987983,16.807213414214477,ses,Storage
13.095238751728777,10.612599738380196,14.204096231900142,ses,Furniture
