model,Micro_WAPE,Macro_WAPE,MAE,RMSE,prediction_count,eval_origins
LightGBM,14.56863319444154,16.489207288936562,14.348808706907633,18.802996721560287,3600,9
XGBoost,14.225133680398411,16.40458502525217,14.010492218865288,18.105635090271548,3600,9
Random Forest,15.821938439956496,17.409840752806318,15.583202968829154,20.36198371195071,3600,9
Seasonal Naive 52w,10.674398140836171,13.000064526372357,10.513333333333334,13.729550449871095,3600,9
Seasonal Naive 52w (All 12 Origins Phase 2B),11.141005030337602,13.365895658656768,11.189166666666667,16.118868343238823,4800,12
