model,SKU,Micro_WAPE,MAE,RMSE
LightGBM,SKU001,14.860537192921964,15.223794768748945,19.206422175711094
LightGBM,SKU002,17.725598622505235,12.966767770102093,16.71910485463098
LightGBM,SKU003,18.63462925709993,7.751488142363097,9.67471474886186
LightGBM,SKU004,23.284632256949127,7.379934834771932,9.024291226515004
LightGBM,SKU005,15.717717383767773,18.105937219579157,22.357583080289736
LightGBM,SKU006,22.628256402713532,10.478139839812071,12.824716923453455
LightGBM,SKU007,9.734619410604664,16.91254919545191,20.683420098671345
LightGBM,SKU008,15.957656315720852,18.160699423752316,21.711978782207524
LightGBM,SKU009,18.412958333864207,13.848079080260373,16.2526728275856
LightGBM,SKU010,16.17680888160465,19.1155958284295,24.37908727506628
LightGBM,SKU011,25.10049287542831,4.68891151631265,5.709891301687595
LightGBM,SKU012,10.235016250573539,18.384647940092716,22.70918339655703
LightGBM,SKU013,14.629695210774948,14.603280483311048,17.957005810159885
LightGBM,SKU014,15.38867910605436,23.016761846263805,29.539761876121382
LightGBM,SKU015,27.241045411806414,7.4875040097173455,9.039355012505256
LightGBM,SKU016,16.2153618447859,16.044199691979827,19.42346261298947
LightGBM,SKU017,18.522693406543326,18.111077997509028,21.44785706005077
LightGBM,SKU018,8.598359900499087,15.170134141116655,20.105836180555347
LightGBM,SKU019,14.941588988827053,16.744955770950764,21.24608419989512
LightGBM,SKU020,12.977679576660355,12.7289407181077,15.715321570749968
LightGBM,SKU021,17.075387448787225,10.356696804007473,13.222619087268496
LightGBM,SKU022,16.99350701191166,11.980422443397721,15.014088734668722
LightGBM,SKU023,16.74125157409344,17.606216238754932,21.157000151337538
LightGBM,SKU024,18.166027950703857,16.64210005039481,19.57842553202676
LightGBM,SKU025,25.79337069632675,4.778938404013873,5.845909387680908
LightGBM,SKU026,13.236771815055953,21.118166366603855,26.552276382862324
LightGBM,SKU027,10.528519640868298,17.816594903380462,22.57937134503167
LightGBM,SKU028,16.050942109377722,6.322287753082669,8.303379797171482
LightGBM,SKU029,12.428845733139699,13.778756478044594,17.530100018613577
LightGBM,SKU030,18.312728935405044,6.216154099740267,7.447658114021433
LightGBM,SKU031,14.552519905220684,19.17698734176859,24.318734703557347
LightGBM,SKU032,19.586836201680192,13.049729619369426,15.674471068845387
LightGBM,SKU033,14.683412427811959,18.8518700670408,24.08319931439517
LightGBM,SKU034,17.435605870186656,24.622950067785823,29.63956319211164
LightGBM,SKU035,14.944448766003005,22.360631466131995,27.6826830174042
LightGBM,SKU036,20.07538574760197,6.750348457631162,8.179047320620294
LightGBM,SKU037,9.65670487723889,17.300255029375617,21.42684615039972
LightGBM,SKU038,16.646437450330627,9.333564998192324,11.686118313199543
LightGBM,SKU039,25.025806953180513,5.710750114454942,6.887279182382292
LightGBM,SKU040,15.392722558551911,16.793032735753506,20.14963824275954
LightGBM,SKU041,21.868775998526267,16.945264068858062,19.78800346683235
LightGBM,SKU042,10.662446098647317,17.542685622857796,21.694708856613627
LightGBM,SKU043,13.438642959752512,21.23865531097553,25.756126120959017
LightGBM,SKU044,16.21664850473183,11.07236722906412,13.414020176056837
LightGBM,SKU045,11.717044759042068,20.574805123412343,25.444912578090847
LightGBM,SKU046,17.186863823067462,11.288427641567504,14.390685726744515
LightGBM,SKU047,15.849124632503115,16.61076312178729,20.19644449484242
LightGBM,SKU048,16.929336377465706,10.07765773803028,12.533338636040844
LightGBM,SKU049,8.229369648333575,14.63113345393307,17.684053843949503
LightGBM,SKU050,22.050851341577008,9.968822377337938,11.811819991798007
XGBoost,SKU001,14.556849907897817,14.912684016757542,18.934741095195207
XGBoost,SKU002,17.110388940304535,12.516724798414442,16.087315675431608
XGBoost,SKU003,20.704275013409394,8.612403286827934,10.35161492158698
XGBoost,SKU004,23.649030814141582,7.495428933037652,9.028708951209428
XGBoost,SKU005,15.227417753839138,17.541139284769695,21.502279268887538
XGBoost,SKU006,22.963145141052355,10.633211930592855,12.910697972154349
XGBoost,SKU007,9.259405981599498,16.086931864420574,20.398803533354883
XGBoost,SKU008,15.316295833275728,17.43079556359185,20.943295616563912
XGBoost,SKU009,18.831781896307636,14.16306930118137,16.319624619269035
XGBoost,SKU010,15.304471631536586,18.0847839779324,22.269580238230734
XGBoost,SKU011,25.893775344338117,4.8371010886298285,5.922176971092183
XGBoost,SKU012,9.932129146936072,17.840586980183918,22.060492240470246
XGBoost,SKU013,14.963640621976692,14.936622937520346,18.00894254961429
XGBoost,SKU014,14.018452981131821,20.967322243584526,25.88090092447138
XGBoost,SKU015,24.497345687765975,6.7333676550123425,8.315693519609626
XGBoost,SKU016,16.524397450039586,16.349973254733616,19.610659767684492
XGBoost,SKU017,18.731764554977417,18.315503120422363,21.80630133828864
XGBoost,SKU018,7.8246498543343606,13.80507320827908,18.72608691079877
XGBoost,SKU019,14.88585614525765,16.682496282789444,21.041579364680615
XGBoost,SKU020,13.487059129462706,13.22855716281467,16.153513446774912
XGBoost,SKU021,18.462315046844587,11.197906917995876,14.262602659104274
XGBoost,SKU022,17.821325027069022,12.564034144083658,15.308667076844168
XGBoost,SKU023,16.904846852378625,17.77826393975152,21.294544619711115
