model,SKU,Micro_WAPE,MAE,RMSE
Tuned LightGBM,SKU001,14.452050231207222,14.805322570192288,18.359172601231947
Tuned LightGBM,SKU002,17.671068523476237,12.92687748793741,16.305265811050226
Tuned LightGBM,SKU003,20.033254549756094,8.333277413405487,10.256479026141417
Tuned LightGBM,SKU004,26.32513947122738,8.34360670463068,10.027873916606096
Tuned LightGBM,SKU005,15.641585305847267,18.018237295374618,22.160125818991197
Tuned LightGBM,SKU006,22.14697197326581,10.255278410953919,12.715643963653374
Tuned LightGBM,SKU007,8.888371545193317,15.442311063725445,18.800264227451564
Tuned LightGBM,SKU008,15.357530519322143,17.477722927128564,20.942925669478864
Tuned LightGBM,SKU009,19.527723667854904,14.686475508532542,17.359205237685547
Tuned LightGBM,SKU010,15.969259734994418,18.87034192018507,24.328652780848387
Tuned LightGBM,SKU011,39.64941707022602,7.4067313832575,9.424465722835619
Tuned LightGBM,SKU012,9.44458943357599,16.96484377006087,21.34298562283353
Tuned LightGBM,SKU013,14.542955947701502,14.51669783279593,18.00547898346307
Tuned LightGBM,SKU014,14.025375473680715,20.977676177231615,26.67637710150328
Tuned LightGBM,SKU015,29.44477637918806,8.093223952001829,9.614028175018042
Tuned LightGBM,SKU016,16.252785114154964,16.081227937949993,19.315006204661977
Tuned LightGBM,SKU017,18.129032848998587,17.726165452354174,20.78265102310825
Tuned LightGBM,SKU018,8.101847053992724,14.294133767620773,18.924523330521406
Tuned LightGBM,SKU019,14.889250922325676,16.686300790589705,21.28959170335477
Tuned LightGBM,SKU020,12.630187619751146,12.388109023705915,15.69700404208991
Tuned LightGBM,SKU021,19.380763205740827,11.754971238815303,14.313942621544575
Tuned LightGBM,SKU022,17.975235397287136,12.672540955087433,16.064370333032674
Tuned LightGBM,SKU023,16.39047224392526,17.2373133098614,21.036464470056575
Tuned LightGBM,SKU024,17.98800115440176,16.479007724226946,19.425584739881607
Tuned LightGBM,SKU025,40.946039604459,7.586391226715043,9.276596300937099
Tuned LightGBM,SKU026,11.778130170639812,18.79102517640827,23.65832567851739
Tuned LightGBM,SKU027,10.154488869689187,17.183651720596256,22.397383211150334
Tuned LightGBM,SKU028,19.19956343083877,7.562494706924825,10.047013391176439
Tuned LightGBM,SKU029,13.019048390881277,14.433061702224215,18.66729356765492
Tuned LightGBM,SKU030,20.73169471964034,7.037258596500138,8.486426194326214
Tuned LightGBM,SKU031,14.365838185339324,18.930982319791596,23.854711636988828
Tuned LightGBM,SKU032,21.327802033714455,14.209648104962255,16.803377863640065
Tuned LightGBM,SKU033,14.780712913624065,18.976793079658453,24.100922437105073
Tuned LightGBM,SKU034,16.17403757702548,22.84133528933265,27.241902936150602
Tuned LightGBM,SKU035,13.35578567835859,19.98359432124404,24.937267655146442
Tuned LightGBM,SKU036,23.7400714413505,7.9825990221541065,9.480942674168721
Tuned LightGBM,SKU037,8.614158542950017,15.432504311876706,20.085274186241445
Tuned LightGBM,SKU038,17.509669481095326,9.817574402108589,11.83957399122017
Tuned LightGBM,SKU039,29.048572601734428,6.628722886756898,8.074180388751792
Tuned LightGBM,SKU040,15.236733787753328,16.622853319833666,20.16777608413852
Tuned LightGBM,SKU041,22.331613188987234,17.303898608522193,20.32084195607301
Tuned LightGBM,SKU042,9.412833910569944,15.486726458973827,19.291500118160453
Tuned LightGBM,SKU043,11.991733448938641,18.951935404926775,23.06208310834605
Tuned LightGBM,SKU044,17.971128914505243,12.270287464403857,14.855962703730299
Tuned LightGBM,SKU045,10.94469132901593,19.21857395454839,23.129264433518255
Tuned LightGBM,SKU046,18.752726863504797,12.31689518576586,15.463461339553783
Tuned LightGBM,SKU047,15.249385628901155,15.982203327178903,19.974357493591523
Tuned LightGBM,SKU048,19.320823526822434,11.501256893883465,14.043138657029518
Tuned LightGBM,SKU049,7.673995269738473,13.643724089989194,16.28506714643374
Tuned LightGBM,SKU050,21.977139392927707,9.935498433886067,11.667486115834519
Tuned XGBoost,SKU001,14.392271269427981,14.744082344902885,18.53249405192968
Tuned XGBoost,SKU002,18.8048043150546,13.756236712137857,17.433760264030425
Tuned XGBoost,SKU003,20.29815380879754,8.443468146853977,10.550607926676937
